epoch;accuracy;loss;lr;val_accuracy;val_loss
0;0.91327083;0.31012481084714333;0.001;0.95608336;0.15673725455999374
1;0.96391666;0.12548119152585666;0.001;0.9655833;0.1168532141794761
2;0.9774375;0.08007732043042778;0.001;0.9701667;0.09471839890660097
3;0.9840208;0.05688941936629514;0.001;0.97625;0.08091063417183857
4;0.9889167;0.041249934083316474;0.001;0.97466666;0.08179828102389972
5;0.9930417;0.02908426958601922;0.0009048374;0.97683334;0.07849879118148237
6;0.99560416;0.02049241194423909;0.0008187307;0.9795;0.0689889107986043
7;0.9972708;0.015298214764334262;0.0007408181;0.98025;0.06785357937915251
8;0.99820834;0.011493948037968948;0.0006703199;0.9795;0.06888231905177236
9;0.99910414;0.00849082284742811;0.00060653046;0.98066664;0.06816373667679727
10;0.9994583;0.006772719355649315;0.00054881145;0.9799167;0.06903995712442944
11;0.9995833;0.005436897565959953;0.0004965851;0.9803333;0.0691559002812331
12;0.99975;0.004566506271172935;0.00044932874;0.9805;0.06887641952295477
0;0.9085625;0.32161256587132814;0.001;0.95425;0.15687480854491392
1;0.9639375;0.1279214643407613;0.001;0.9651667;0.1146862741249303
2;0.97629166;0.08362297744800647;0.001;0.97041667;0.09512151107192039
3;0.9847083;0.05628399585839361;0.001;0.97583336;0.081287595598648
4;0.9883125;0.042188156256452204;0.001;0.97491664;0.08093039930875724
5;0.9921875;0.03002074219014806;0.0009048374;0.97716665;0.07956871995314335
6;0.9954375;0.020761688216589393;0.0008187307;0.977;0.07364813406020403
7;0.9972708;0.015344427961584492;0.0007408181;0.97891665;0.06995134060659135
8;0.99852085;0.011018517241852047;0.0006703199;0.97891665;0.06967118662044716
9;0.99897915;0.008847792814291704;0.00060653046;0.9791667;0.07063679803977721
10;0.9993542;0.006915101642274143;0.00054881145;0.98041666;0.06831065202519919
11;0.9995833;0.0056559900413655365;0.0004965851;0.98025;0.06987493597941162
12;0.9998125;0.004533817048650235;0.00044932874;0.98041666;0.06931957254904167
13;0.9998958;0.0038005172881336573;0.00040656942;0.9805833;0.0697719108313322
14;0.9999375;0.003272583906800719;0.0003678792;0.98125;0.06936840815857674
15;0.9999167;0.0029257606831379233;0.00033287084;0.98083335;0.07010003501588168
0;0.90979165;0.3168210114352405;0.001;0.95566666;0.1599713172763586
1;0.96414584;0.12555289948359133;0.001;0.96625;0.11365950849528114
2;0.97639585;0.08218564322839181;0.001;0.97216666;0.09346065338080128
3;0.9836042;0.05680866766100128;0.001;0.9759167;0.0829844252516826
4;0.9891875;0.041088721866253765;0.001;0.97375;0.08307867470818261
5;0.99214584;0.029678509869457532;0.0009048374;0.9774167;0.07331647509709001
6;0.9956667;0.020328378376628584;0.0008187307;0.97933334;0.07123428664635867
7;0.99720836;0.01518017477161872;0.0007408181;0.97933334;0.06946803511042769
8;0.9985625;0.010910078281691918;0.0006703199;0.97933334;0.0687638216613171
9;0.99910414;0.008308614467872151;0.00060653046;0.97858334;0.0706948978244327
10;0.99939585;0.0067236435720891075;0.00054881145;0.9801667;0.06867738238846262
11;0.9996875;0.005301486455816;0.0004965851;0.97966665;0.07032028400766042
12;0.99972916;0.004501524619020832;0.00044932874;0.9798333;0.07006998526242872
13;0.99985415;0.003705304189255306;0.00040656942;0.9801667;0.06909976441723605
14;0.9999167;0.0031217902859983345;0.0003678792;0.98066664;0.07039787257284237
15;0.99995834;0.0027763335002722062;0.00033287084;0.98125;0.06974622359169493
0;0.9125625;0.30682860063388945;0.001;0.95533335;0.1592537001396219
1;0.96252084;0.12828383496962487;0.001;0.9658333;0.1175000684025387
2;0.9766667;0.08196991304090867;0.001;0.9698333;0.09724287994516392
3;0.9840417;0.057517160281228524;0.001;0.97491664;0.08235471830703318
4;0.9888125;0.04201578558034574;0.001;0.9755833;0.07887844205057869
5;0.99225;0.029543852761465435;0.0009048374;0.9780833;0.07317364240686099
6;0.9951042;0.021323902602307498;0.0008187307;0.978;0.07287744522715608
7;0.9971875;0.014876675161455447;0.0007408181;0.97966665;0.0698924471080924
8;0.9984583;0.011308936456528803;0.0006703199;0.98083335;0.0667994477165242
9;0.99927086;0.008539229528590415;0.00060653046;0.979;0.07094013578025624
10;0.9994375;0.006843723030760885;0.00054881145;0.97941667;0.06903983921123048
11;0.9996667;0.00558861001918558;0.0004965851;0.9803333;0.0700091471003058
12;0.9998125;0.004460865719981181;0.00044932874;0.981;0.06935816511783438
13;0.99995834;0.0036820975602798473;0.00040656942;0.98116666;0.07016363079892471
